"cyr","country_text_id","year","seq"
"afg1900","AFG",1900,1900
"ago1900","AGO",1900,1900
"alb1900","ALB",1900,1900
"are1900","ARE",1900,1900
"arg1900","ARG",1900,1900
"arm1900","ARM",1900,1900
"aus1900","AUS",1900,1900
"aut1900","AUT",1900,1900
"aze1900","AZE",1900,1900
"bdi1900","BDI",1900,1900
"bel1900","BEL",1900,1900
"ben1900","BEN",1900,1900
"bfa1900","BFA",1900,1900
"bgd1900","BGD",1900,1900
"bgr1900","BGR",1900,1900
"bhr1900","BHR",1900,1900
"bih1900","BIH",1900,1900
"blr1900","BLR",1900,1900
"bol1900","BOL",1900,1900
"bra1900","BRA",1900,1900
"brb1900","BRB",1900,1900
"btn1900","BTN",1900,1900
"bwa1900","BWA",1900,1900
"caf1900","CAF",1900,1900
"can1900","CAN",1900,1900
"che1900","CHE",1900,1900
"chl1900","CHL",1900,1900
"chn1900","CHN",1900,1900
"civ1900","CIV",1900,1900
"cmr1900","CMR",1900,1900
"cod1900","COD",1900,1900
"cog1900","COG",1900,1900
"col1900","COL",1900,1900
"com1900","COM",1900,1900
"cpv1900","CPV",1900,1900
"cri1900","CRI",1900,1900
"cub1900","CUB",1900,1900
"cyp1900","CYP",1900,1900
"cze1900","CZE",1900,1900
"ddr1900","DDR",1900,1900
"deu1900","DEU",1900,1900
"dji1900","DJI",1900,1900
"dnk1900","DNK",1900,1900
"dom1900","DOM",1900,1900
"dza1900","DZA",1900,1900
"ecu1900","ECU",1900,1900
"egy1900","EGY",1900,1900
"eri1900","ERI",1900,1900
"esp1900","ESP",1900,1900
"est1900","EST",1900,1900
"eth1900","ETH",1900,1900
"fin1900","FIN",1900,1900
"fji1900","FJI",1900,1900
"fra1900","FRA",1900,1900
"gab1900","GAB",1900,1900
"gbr1900","GBR",1900,1900
"geo1900","GEO",1900,1900
"gha1900","GHA",1900,1900
"gin1900","GIN",1900,1900
"gmb1900","GMB",1900,1900
"gnb1900","GNB",1900,1900
"gnq1900","GNQ",1900,1900
"grc1900","GRC",1900,1900
"gtm1900","GTM",1900,1900
"guy1900","GUY",1900,1900
"hkg1900","HKG",1900,1900
"hnd1900","HND",1900,1900
"hrv1900","HRV",1900,1900
"hti1900","HTI",1900,1900
"hun1900","HUN",1900,1900
"idn1900","IDN",1900,1900
"ind1900","IND",1900,1900
"irl1900","IRL",1900,1900
"irn1900","IRN",1900,1900
"irq1900","IRQ",1900,1900
"isl1900","ISL",1900,1900
"isr1900","ISR",1900,1900
"ita1900","ITA",1900,1900
"jam1900","JAM",1900,1900
"jor1900","JOR",1900,1900
"jpn1900","JPN",1900,1900
"kaz1900","KAZ",1900,1900
"ken1900","KEN",1900,1900
"khm1900","KHM",1900,1900
"kor1900","KOR",1900,1900
"kwt1900","KWT",1900,1900
"lao1900","LAO",1900,1900
"lbn1900","LBN",1900,1900
"lbr1900","LBR",1900,1900
"lby1900","LBY",1900,1900
"lka1900","LKA",1900,1900
"lso1900","LSO",1900,1900
"ltu1900","LTU",1900,1900
"lux1900","LUX",1900,1900
"lva1900","LVA",1900,1900
"mar1900","MAR",1900,1900
"mda1900","MDA",1900,1900
"mdg1900","MDG",1900,1900
"mdv1900","MDV",1900,1900
"mex1900","MEX",1900,1900
"mkd1900","MKD",1900,1900
"mli1900","MLI",1900,1900
"mmr1900","MMR",1900,1900
"mne1900","MNE",1900,1900
"mng1900","MNG",1900,1900
"moz1900","MOZ",1900,1900
"mrt1900","MRT",1900,1900
"mus1900","MUS",1900,1900
"mwi1900","MWI",1900,1900
"mys1900","MYS",1900,1900
"nam1900","NAM",1900,1900
"ner1900","NER",1900,1900
"nga1900","NGA",1900,1900
"nic1900","NIC",1900,1900
"nld1900","NLD",1900,1900
"nor1900","NOR",1900,1900
"npl1900","NPL",1900,1900
"nzl1900","NZL",1900,1900
"omn1900","OMN",1900,1900
"pak1900","PAK",1900,1900
"pan1900","PAN",1900,1900
"per1900","PER",1900,1900
"phl1900","PHL",1900,1900
"png1900","PNG",1900,1900
"pol1900","POL",1900,1900
"prk1900","PRK",1900,1900
"prt1900","PRT",1900,1900
"pry1900","PRY",1900,1900
"psb1900","PSB",1900,1900
"pse1900","PSE",1900,1900
"psg1900","PSG",1900,1900
"qat1900","QAT",1900,1900
"rou1900","ROU",1900,1900
"rus1900","RUS",1900,1900
"rwa1900","RWA",1900,1900
"sau1900","SAU",1900,1900
"sdn1900","SDN",1900,1900
"sen1900","SEN",1900,1900
"sgp1900","SGP",1900,1900
"slb1900","SLB",1900,1900
"sle1900","SLE",1900,1900
"slv1900","SLV",1900,1900
"sml1900","SML",1900,1900
"som1900","SOM",1900,1900
"srb1900","SRB",1900,1900
"ssd1900","SSD",1900,1900
"stp1900","STP",1900,1900
"sur1900","SUR",1900,1900
"svk1900","SVK",1900,1900
"svn1900","SVN",1900,1900
"swe1900","SWE",1900,1900
"swz1900","SWZ",1900,1900
"syc1900","SYC",1900,1900
"syr1900","SYR",1900,1900
"tcd1900","TCD",1900,1900
"tgo1900","TGO",1900,1900
"tha1900","THA",1900,1900
"tjk1900","TJK",1900,1900
"tkm1900","TKM",1900,1900
"tls1900","TLS",1900,1900
"tto1900","TTO",1900,1900
"tun1900","TUN",1900,1900
"tur1900","TUR",1900,1900
"twn1900","TWN",1900,1900
"tza1900","TZA",1900,1900
"uga1900","UGA",1900,1900
"ukr1900","UKR",1900,1900
"ury1900","URY",1900,1900
"usa1900","USA",1900,1900
"uzb1900","UZB",1900,1900
"vdr1900","VDR",1900,1900
"ven1900","VEN",1900,1900
"vnm1900","VNM",1900,1900
"vut1900","VUT",1900,1900
"xkx1900","XKX",1900,1900
"yem1900","YEM",1900,1900
"ymd1900","YMD",1900,1900
"zaf1900","ZAF",1900,1900
"zmb1900","ZMB",1900,1900
"zwe1900","ZWE",1900,1900
"zzb1900","ZZB",1900,1900
"afg19015","AFG",1901.5,19015
"ago19015","AGO",1901.5,19015
"alb19015","ALB",1901.5,19015
"are19015","ARE",1901.5,19015
"arg19015","ARG",1901.5,19015
"arm19015","ARM",1901.5,19015
"aus19015","AUS",1901.5,19015
"aut19015","AUT",1901.5,19015
"aze19015","AZE",1901.5,19015
"bdi19015","BDI",1901.5,19015
"bel19015","BEL",1901.5,19015
"ben19015","BEN",1901.5,19015
"bfa19015","BFA",1901.5,19015
"bgd19015","BGD",1901.5,19015
"bgr19015","BGR",1901.5,19015
"bhr19015","BHR",1901.5,19015
"bih19015","BIH",1901.5,19015
"blr19015","BLR",1901.5,19015
"bol19015","BOL",1901.5,19015
"bra19015","BRA",1901.5,19015
"brb19015","BRB",1901.5,19015
"btn19015","BTN",1901.5,19015
"bwa19015","BWA",1901.5,19015
"caf19015","CAF",1901.5,19015
"can19015","CAN",1901.5,19015
"che19015","CHE",1901.5,19015
"chl19015","CHL",1901.5,19015
"chn19015","CHN",1901.5,19015
"civ19015","CIV",1901.5,19015
"cmr19015","CMR",1901.5,19015
"cod19015","COD",1901.5,19015
"cog19015","COG",1901.5,19015
"col19015","COL",1901.5,19015
"com19015","COM",1901.5,19015
"cpv19015","CPV",1901.5,19015
"cri19015","CRI",1901.5,19015
"cub19015","CUB",1901.5,19015
"cyp19015","CYP",1901.5,19015
"cze19015","CZE",1901.5,19015
"ddr19015","DDR",1901.5,19015
"deu19015","DEU",1901.5,19015
"dji19015","DJI",1901.5,19015
"dnk19015","DNK",1901.5,19015
"dom19015","DOM",1901.5,19015
"dza19015","DZA",1901.5,19015
"ecu19015","ECU",1901.5,19015
"egy19015","EGY",1901.5,19015
"eri19015","ERI",1901.5,19015
"esp19015","ESP",1901.5,19015
"est19015","EST",1901.5,19015
"eth19015","ETH",1901.5,19015
"fin19015","FIN",1901.5,19015
"fji19015","FJI",1901.5,19015
"fra19015","FRA",1901.5,19015
"gab19015","GAB",1901.5,19015
"gbr19015","GBR",1901.5,19015
"geo19015","GEO",1901.5,19015
"gha19015","GHA",1901.5,19015
"gin19015","GIN",1901.5,19015
"gmb19015","GMB",1901.5,19015
"gnb19015","GNB",1901.5,19015
"gnq19015","GNQ",1901.5,19015
"grc19015","GRC",1901.5,19015
"gtm19015","GTM",1901.5,19015
"guy19015","GUY",1901.5,19015
"hkg19015","HKG",1901.5,19015
"hnd19015","HND",1901.5,19015
"hrv19015","HRV",1901.5,19015
"hti19015","HTI",1901.5,19015
"hun19015","HUN",1901.5,19015
"idn19015","IDN",1901.5,19015
"ind19015","IND",1901.5,19015
"irl19015","IRL",1901.5,19015
"irn19015","IRN",1901.5,19015
"irq19015","IRQ",1901.5,19015
"isl19015","ISL",1901.5,19015
"isr19015","ISR",1901.5,19015
"ita19015","ITA",1901.5,19015
"jam19015","JAM",1901.5,19015
"jor19015","JOR",1901.5,19015
"jpn19015","JPN",1901.5,19015
"kaz19015","KAZ",1901.5,19015
"ken19015","KEN",1901.5,19015
"khm19015","KHM",1901.5,19015
"kor19015","KOR",1901.5,19015
"kwt19015","KWT",1901.5,19015
